-116756.0708812592	  inf
-78554.9973263628	3.27187e-01
-75984.7691686489	3.27188e-02
-74692.2778412911	1.70099e-02
-74037.2153342930	8.77015e-03
-73623.7867149407	5.58406e-03
-73288.5401170448	4.55351e-03
-72959.7141340603	4.48673e-03
-72615.4645806078	4.71835e-03
-72271.0480962959	4.74302e-03
-71957.1176142471	4.34379e-03
-71686.6662813682	3.75851e-03
-71455.8497560900	3.21980e-03
-71256.1973095388	2.79407e-03
-71078.9028082063	2.48813e-03
-70915.4341127124	2.29982e-03
-70758.5804892603	2.21184e-03
-70603.0193765887	2.19848e-03
-70445.1496015603	2.23602e-03
-70283.8148935472	2.29022e-03
-70120.2478685654	2.32724e-03
